国,地域,推定泊数_2019年,推定泊数_2019年差,部屋あたり人数_2019年,部屋あたり人数_2019年差,#,実人数 前年,実人数 前年 構成比,実人数 前年伸率 (客室数補正あり）,実人数 前年伸率 (客室数補正なし）,実人数 当年,実人数 当年 構成比,実人数_2019年,実人数_2019年伸率 （客室数補正あり）,実人数_2019年伸率 （客室数補正なし）,年,延べ人数 前年,延べ人数 前年 構成比,延べ人数 前年伸率 (客室数補正あり）,延べ人数 前年伸率 (客室数補正なし）,延べ人数 当年,延べ人数 当年 構成比,延べ人数_2019年,延べ人数_2019年伸率 （客室数補正あり）,延べ人数_2019年伸率 （客室数補正なし）,延べ部屋数 前年,延べ部屋数 前年 構成比,延べ部屋数 前年伸率 (客室数補正あり）,延べ部屋数 前年伸率 (客室数補正なし）,延べ部屋数 当年,延べ部屋数 当年 構成比,延べ部屋数_2019年,延べ部屋数_2019年伸率 （客室数補正あり）,延べ部屋数_2019年伸率 （客室数補正なし）,推定泊数 前年,推定泊数 前年差,推定泊数 当年,月,総客室数 (Sheet1),総客室数_2019年 (Sheet1),総客室数_前年 (Sheet1),部屋あたり人数_前年,部屋あたり人数_前年差,部屋あたり人数_当年
その他,中南米,,,,,6,137,0.003,1.970964999,0.992700730,273,0.004,,,,2014,284,0.003,1.769221484,0.788732394,508,0.004,,,,133,0.003,1.792265041,0.812030075,241,0.004,,,,2.072992701,-0.212186840,1.860805861,8月,236127,,,2.135338346,-0.027454528,2.107883817
南米小計,中南米,,,,,7,574,0.011,1.431943768,0.447735192,831,0.012,,,,2014,1310,0.012,1.309981057,0.324427481,1735,0.013,,,,669,0.014,1.206426514,0.219730942,816,0.013,,,,2.282229965,-0.194383996,2.087845969,8月,236127,,,1.958146487,0.168079003,2.126225490
イギリス,ヨーロッパ,,,,,8,1307,0.025,1.332663799,0.347360367,1761,0.03,,,,2014,2871,0.027,1.506548499,0.523162661,4373,0.033,,,,1379,0.028,1.407251010,0.422770123,1962,0.032,,,,2.196633512,0.286614643,2.483248154,8月,236127,,,2.081943437,0.146904677,2.228848114
フランス,ヨーロッパ,,,,,9,2689,0.051,1.218617655,0.232056527,3313,0.052,,,,2014,6401,0.06,1.255796490,0.269645368,8127,0.062,,,,2851,0.059,1.252410837,0.266222378,3610,0.058,,,,2.380438825,0.072624864,2.453063688,8月,236127,,,2.245177131,0.006069407,2.251246537
ドイツ,ヨーロッパ,,,,,10,817,0.015,1.424922481,0.440636475,1177,0.019,,,,2014,1864,0.017,1.590294903,0.607832618,2997,0.023,,,,987,0.02,1.659510528,0.677811550,1656,0.027,,,,2.281517748,0.264786415,2.546304163,8月,236127,,,1.888551165,-0.078768556,1.809782609
イタリア,ヨーロッパ,,,,,11,3325,0.063,1.071194425,0.083007519,3601,0.058,,,,2014,7964,0.074,1.179483905,0.192491210,9497,0.072,,,,3698,0.076,1.162143363,0.174959438,4345,0.07,,,,2.395187970,0.242134996,2.637322966,8月,236127,,,2.153596539,0.032134186,2.185730725
オランダ,ヨーロッパ,,,,,12,201,0.004,1.618962065,0.636815920,329,0.005,,,,2014,567,0.005,1.725242169,0.744268078,989,0.008,,,,311,0.006,1.552016254,0.569131833,488,0.008,,,,2.820895522,0.185183505,3.006079027,8月,236127,,,1.823151125,0.203488219,2.026639344
スペイン,ヨーロッパ,,,,,13,2964,0.056,1.556385495,0.573549258,4664,0.075,,,,2014,7233,0.067,1.568353364,0.585649108,11469,0.087,,,,3240,0.067,1.621622973,0.639506173,5312,0.085,,,,2.440283401,0.018764627,2.459048027,8月,236127,,,2.232407407,-0.073333612,2.159073795
スイス,ヨーロッパ,,,,,14,408,0.008,1.175759260,0.188725490,485,0.008,,,,2014,923,0.009,1.317003758,0.331527627,1229,0.009,,,,433,0.009,1.256352839,0.270207852,550,0.009,,,,2.262254902,0.271765717,2.534020619,8月,236127,,,2.131639723,0.102905732,2.234545455
スウェーデン,ヨーロッパ,,,,,15,165,0.003,1.013070321,0.024242424,169,0.003,,,,2014,388,0.004,1.027330431,0.038659794,403,0.003,,,,211,0.004,0.951591195,-0.037914692,203,0.003,,,,2.351515152,0.033100233,2.384615385,8月,236127,,,1.838862559,0.146359116,1.985221675
フィンランド,ヨーロッパ,,,,,16,52,0.001,0.874966288,-0.115384615,46,0.001,,,,2014,118,0.001,0.880124527,-0.110169492,105,0.001,,,,74,0.002,0.775234526,-0.216216216,58,0.001,,,,2.269230769,0.013377926,2.282608696,8月,236127,,,1.594594595,0.215750233,1.810344828
ロシア,ヨーロッパ,,,,,17,499,0.009,0.568876748,-0.424849699,287,0.004,,,,2014,1296,0.012,0.548732548,-0.445216049,719,0.005,,,,724,0.015,0.513672258,-0.480662983,376,0.006,,,,2.597194389,-0.091967908,2.505226481,8月,236127,,,1.790055249,0.122178794,1.912234043
その他,ヨーロッパ,,,,,18,3328,0.063,1.046452548,0.057992788,3521,0.042,,,,2014,7122,0.066,0.866601532,-0.123841618,6240,0.047,,,,2560,0.053,1.176865322,0.18984375,3046,0.049,,,,2.140024038,-0.367800238,1.772223800,8月,236127,,,2.78203125,-0.733442937,2.048588313
ヨーロッパ小計,ヨーロッパ,,,,,19,15755,0.297,1.214973264,0.228371945,19353,0.296,,,,2014,36747,0.342,1.242132219,0.255830408,46148,0.351,,,,16468,0.338,1.297688170,0.311999028,21606,0.347,,,,2.332402412,0.052137453,2.384539865,8月,236127,,,2.231418509,-0.095530329,2.135888179
中国,東アジア,,,,,20,5477,0.103,1.877415340,0.898119408,10396,0.155,,,,2014,10428,0.097,1.837901994,0.858170311,19377,0.147,,,,4808,0.099,1.869565527,0.890183028,9088,0.146,,,,1.903962023,-0.040072065,1.863889958,8月,236127,,,2.168885191,-0.036732903,2.132152289
台湾,東アジア,,,,,21,14504,0.273,1.128345396,0.140788748,16546,0.256,,,,2014,23911,0.223,1.068803794,0.080590523,25838,0.196,,,,10215,0.21,1.136173211,0.148702888,11734,0.189,,,,1.648579702,-0.086993820,1.561585882,8月,236127,,,2.340773372,-0.138796212,2.201977160
香港,東アジア,,,,,22,1740,0.033,1.978753095,1.000574713,3481,0.053,,,,2014,3407,0.032,1.865543670,0.886116818,6426,0.049,,,,1535,0.032,1.826760093,0.846905537,2835,0.046,,,,1.958045977,-0.112024719,1.846021258,8月,236127,,,2.219543974,0.047122693,2.266666667
韓国,東アジア,,,,,23,1624,0.031,1.060959872,0.072660099,1742,0.027,,,,2014,3013,0.028,1.115149894,0.127447727,3397,0.026,,,,1481,0.03,1.170080861,0.182984470,1752,0.028,,,,1.855295567,0.094761839,1.950057405,8月,236127,,,2.034436192,-0.095509251,1.938926941
東アジア小計,東アジア,,,,,24,23345,0.44,1.362782380,0.377811094,32165,0.491,,,,2014,40759,0.379,1.335598602,0.350327535,55038,0.418,,,,18039,0.37,1.393195127,0.408559233,25409,0.408,,,,1.745941315,-0.034826750,1.711114566,8月,236127,,,2.259493320,-0.093410436,2.166082884
フィリピン,東南アジア,,,,,25,97,0.002,2.018971964,1.041237113,198,0.003,,,,2014,225,0.002,1.705634766,0.724444444,388,0.003,,,,97,0.002,1.917003683,0.938144330,188,0.003,,,,2.319587629,-0.359991669,1.959595960,8月,236127,,,2.319587629,-0.255757842,2.063829787
ベトナム,東南アジア,,,,,26,64,0.001,3.400004869,2.4375,220,0.004,,,,2014,94,0.001,4.450915466,3.5,423,0.003,,,,55,0.001,3.974352800,3.018181818,221,0.004,,,,1.46875,0.453977273,1.922727273,8月,236127,,,1.709090909,0.204936240,1.914027149
タイ,東南アジア,,,,,27,664,0.013,0.665849804,-0.326807229,447,0.007,,,,2014,1309,0.012,0.689115509,-0.303284950,912,0.007,,,,559,0.011,0.898853133,-0.091234347,508,0.008,,,,1.971385542,0.068882914,2.040268456,8月,236127,,,2.341681574,-0.546405984,1.795275591
インドネシア,東南アジア,,,,,28,1084,0.02,0.454398504,-0.540590406,498,0.008,,,,2014,1670,0.016,0.524751976,-0.469461078,886,0.007,,,,755,0.016,0.573804554,-0.419867550,438,0.007,,,,1.540590406,0.238526060,1.779116466,8月,236127,,,2.211920530,-0.189089480,2.022831050
マレーシア,東南アジア,,,,,29,362,0.007,0.688539409,-0.303867403,252,0.004,,,,2014,755,0.007,0.648477750,-0.344370861,495,0.004,,,,317,0.007,0.805002587,-0.186119874,258,0.004,,,,2.085635359,-0.121349645,1.964285714,8月,236127,,,2.381703470,-0.463098819,1.918604651
シンガポール,東南アジア,,,,,30,683,0.013,0.718286667,-0.273792094,496,0.007,,,,2014,1526,0.014,0.681864434,-0.310615990,1052,0.008,,,,666,0.014,0.834639470,-0.156156156,562,0.009,,,,2.234260615,-0.113292873,2.120967742,8月,236127,,,2.291291291,-0.419405170,1.871886121
インド,東南アジア,,,,,31,242,0.005,1.287454887,0.301652893,315,0.005,,,,2014,521,0.005,1.213109398,0.226487524,639,0.005,,,,287,0.006,1.619767920,0.637630662,470,0.008,,,,2.152892562,-0.124321133,2.028571429,8月,236127,,,1.815331010,-0.455756542,1.359574468
その他,東南アジア,,,,,32,460,0.009,0.806325265,-0.184782609,375,0.006,,,,2014,1078,0.01,0.655113099,-0.337662338,714,0.005,,,,383,0.008,0.919365190,-0.070496084,356,0.006,,,,2.343478261,-0.439478261,1.904,8月,236127,,,2.814621410,-0.809003432,2.005617978
東南アジア小計,東南アジア,,,,,33,3656,0.069,0.757781073,-0.233862144,2801,0.043,,,,2014,7178,0.067,0.759112514,-0.232516021,5509,0.042,,,,3119,0.064,0.951672353,-0.037832639,3001,0.048,,,,1.963347921,0.003449651,1.966797572,8月,236127,,,2.301378647,-0.465657221,1.835721426
イスラエル,中東,,,,,34,100,0.002,1.226474484,0.24,124,0.002,,,,2014,226,0.002,1.229800635,0.243362832,281,0.002,,,,109,0.002,1.279468054,0.293577982,141,0.002,,,,2.26,0.006129032,2.266129032,8月,236127,,,2.073394495,-0.080486694,1.992907801
カタール,中東,,,,,35,9,0,8.352335195,7.444444444,76,0.001,,,,2014,17,0,9.250922340,8.352941176,159,0.001,,,,8,0,6.181827035,5.25,50,0.001,,,,1.888888889,0.203216374,2.092105263,8月,236127,,,2.125,1.055,3.18
UAE,中東,,,,,36,64,0.001,2.333639706,1.359375,151,0.002,,,,2014,142,0.001,2.263767647,1.288732394,325,0.002,,,,66,0.001,3.087166956,2.121212121,206,0.003,,,,2.21875,-0.066432119,2.152317881,8月,236127,,,2.151515152,-0.573845249,1.577669903
サウジアラビア,中東,,,,,37,67,0.001,1.107192902,0.119402985,75,0.001,,,,2014,137,0.001,0.758063461,-0.233576642,105,0.001,,,,57,0.001,0.659394884,-0.333333333,38,0.001,,,,2.044776119,-0.644776119,1.4,8月,236127,,,2.403508772,0.359649123,2.763157895
トルコ,中東,,,,,38,40,0.001,0.667637320,-0.325,27,0,,,,2014,89,0.001,1.244700455,0.258426966,112,0.001,,,,41,0.001,1.954060448,0.975609756,81,0.001,,,,2.225,1.923148148,4.148148148,8月,236127,,,2.170731707,-0.788015658,1.382716049
その他,中東,,,,,39,126,0.002,1.483638489,0.5,189,0.003,,,,2014,353,0.003,1.216051188,0.229461756,434,0.003,,,,204,0.004,1.037577244,0.049019608,214,0.003,,,,2.801587302,-0.505291005,2.296296296,8月,236127,,,1.730392157,0.297645226,2.028037383
中東小計,中東,,,,,40,406,0.008,1.564032692,0.581280788,642,0.009,,,,2014,964,0.009,1.452857607,0.468879668,1416,0.011,,,,485,0.01,1.488736903,0.505154639,730,0.012,,,,2.374384236,-0.168776760,2.205607477,8月,236127,,,1.987628866,-0.047902839,1.939726027
オーストラリア,オセアニア,,,,,41,1236,0.023,1.148339391,0.161003236,1435,0.022,,,,2014,2732,0.025,1.129563710,0.142020498,3120,0.024,,,,1297,0.027,1.186605751,0.199691596,1556,0.025,,,,2.210355987,-0.036139959,2.174216028,8月,236127,,,2.106399383,-0.101257995,2.005141388
ニュージーランド,オセアニア,,,,,42,121,0.002,0.588550805,-0.404958678,72,0.001,,,,2014,279,0.003,0.740932961,-0.250896057,209,0.002,,,,140,0.003,0.819533641,-0.171428571,116,0.002,,,,2.305785124,0.596992654,2.902777778,8月,236127,,,1.992857143,-0.191133005,1.801724138
その他,オセアニア,,,,,43,26,0,1.027134338,0.038461538,27,0,,,,2014,58,0.001,1.040252274,0.051724138,61,0,,,,32,0.001,1.081819731,0.09375,35,0.001,,,,2.230769231,0.028490028,2.259259259,8月,236127,,,1.8125,-0.069642857,1.742857143
オセアニア小計,オセアニア,,,,,44,1383,0.026,1.097084329,0.109182936,1534,0.024,,,,2014,3069,0.029,1.092545775,0.104594330,3390,0.026,,,,1469,0.03,1.149340095,0.162014976,1707,0.027,,,,2.219088937,-0.009180202,2.209908735,8月,236127,,,2.089176310,-0.103236064,1.985940246
アフリカ,アフリカ,,,,,45,67,0.001,1.431969486,0.447761194,97,0.002,,,,2014,185,0.002,1.555815496,0.572972973,291,0.002,,,,98,0.002,1.695586844,0.714285714,168,0.003,,,,2.761194030,0.238805970,3,8月,236127,,,1.887755102,-0.155612245,1.732142857
海外その他,海外その他,,,,,46,2144,0.04,0.627409311,-0.365671642,1360,0.022,,,,2014,4530,0.042,0.770749649,-0.220750552,3530,0.027,,,,1769,0.036,1.014812081,0.026003392,1815,0.029,,,,2.112873134,0.482715101,2.595588235,8月,236127,,,2.560768796,-0.615865215,1.944903581
海外合計,海外合計,,,,,47,53096,,1.217494861,0.230921350,65357,0,,,,2014,107455,,1.210695767,0.224047276,131530,0,,,,48698,,1.264262206,0.278204444,62246,0,,,,2.023787103,-0.011301829,2.012485273,8月,236127,,,2.206558791,-0.093491285,2.113067506
国内合計,国内合計,,,,,48,201917,,0.954268822,-0.035207536,194808,0,,,,2014,328615,,0.938932645,-0.050712840,311950,0,,,,159755,,0.958179127,-0.031254108,154762,0,,,,1.627475646,-0.026155372,1.601320274,8月,236127,,,2.056993521,-0.041317839,2.015675683
合　　計,合　　計,,,,,49,255013,,1.009074851,0.020202892,260165,0,,,,2014,436070,,1.005899660,0.016992685,443480,0,,,,208453,,1.029685096,0.041040426,217008,0,,,,1.709991255,-0.005380720,1.704610536,8月,236127,,,2.091934393,-0.048323097,2.043611295
アメリカ,北米,,,,,1,5554,0.112,1.204495900,0.282138999,7121,0.116,,,,2014,12658,0.125,1.154969552,0.229420130,15562,0.125,,,,6845,0.138,1.175229562,0.250986121,8563,0.134,,,,2.279078142,-0.093710918,2.185367224,9月,228510,,,1.849233017,-0.031879286,1.817353731
カナダ,北米,,,,,2,700,0.014,0.950179012,0.011428571,708,0.012,,,,2014,1470,0.015,1.048085539,0.115646259,1640,0.013,,,,801,0.016,0.980491825,0.043695381,836,0.013,,,,2.1,0.216384181,2.316384181,9月,228510,,,1.835205993,0.126516496,1.961722488
北米小計,北米,,,,,3,6254,0.126,1.176030626,0.251838823,7829,0.128,,,,2014,14128,0.14,1.143848410,0.217582106,17202,0.139,,,,7646,0.154,1.154828708,0.229270207,9399,0.147,,,,2.259034218,-0.061818737,2.197215481,9月,228510,,,1.847763536,-0.017568835,1.830194702
メキシコ,中南米,,,,,4,404,0.008,1.746339943,0.858910891,751,0.013,,,,2014,1057,0.01,1.461157533,0.555345317,1644,0.013,,,,484,0.01,1.284939984,0.367768595,662,0.01,,,,2.616336634,-0.427255409,2.189081225,9月,228510,,,2.183884298,0.299499388,2.483383686
ブラジル,中南米,,,,,5,434,0.009,1.495748353,0.592165899,691,0.011,,,,2014,897,0.009,1.403403550,0.493868450,1340,0.011,,,,452,0.009,1.382144424,0.471238938,665,0.01,,,,2.066820276,-0.127601753,1.939218524,9月,228510,,,1.984513274,0.030524320,2.015037594
その他,中南米,,,,,6,319,0.006,1.175039398,0.250783699,399,0.006,,,,2014,602,0.006,1.053361636,0.121262458,675,0.005,,,,285,0.006,1.166886506,0.242105263,354,0.006,,,,1.887147335,-0.195418012,1.691729323,9月,228510,,,2.112280702,-0.205501041,1.906779661
南米小計,中南米,,,,,7,1157,0.023,1.494826007,0.591184097,1841,0.029,,,,2014,2556,0.025,1.344843585,0.431533646,3659,0.03,,,,1221,0.025,1.293368457,0.376740377,1681,0.026,,,,2.209161625,-0.221654835,1.987506790,9月,228510,,,2.093366093,0.083314454,2.176680547
イギリス,ヨーロッパ,,,,,8,1429,0.029,1.582391994,0.684394682,2407,0.042,,,,2014,3113,0.031,1.672467227,0.780276261,5542,0.045,,,,1534,0.031,1.668214759,0.775749674,2724,0.043,,,,2.178446466,0.124004718,2.302451184,9月,228510,,,2.029335072,0.005173005,2.034508076
フランス,ヨーロッパ,,,,,9,939,0.019,1.240584379,0.320553781,1240,0.02,,,,2014,2175,0.022,1.224946668,0.303908046,2836,0.023,,,,1142,0.023,1.267671570,0.349387040,1541,0.024,,,,2.316293930,-0.029197156,2.287096774,9月,228510,,,1.904553415,-0.064190015,1.840363400
ドイツ,ヨーロッパ,,,,,10,1061,0.021,0.990797537,0.054665410,1119,0.019,,,,2014,2414,0.024,1.076817510,0.146230323,2767,0.022,,,,1357,0.027,1.131900169,0.204863670,1635,0.026,,,,2.275212064,0.197531457,2.472743521,9月,228510,,,1.778924097,-0.086569357,1.692354740
イタリア,ヨーロッパ,,,,,11,1286,0.026,1.483676338,0.579315708,2031,0.028,,,,2014,3177,0.031,1.367026376,0.455146364,4623,0.037,,,,1624,0.033,1.412056161,0.503078818,2441,0.038,,,,2.470451011,-0.194232399,2.276218612,9月,228510,,,1.956280788,-0.062384844,1.893895944
オランダ,ヨーロッパ,,,,,12,170,0.003,1.663365884,0.770588235,301,0.005,,,,2014,396,0.004,1.916842326,1.040404040,808,0.007,,,,227,0.005,2.036148558,1.167400881,492,0.008,,,,2.329411765,0.354973617,2.684385382,9月,228510,,,1.744493392,-0.102216969,1.642276423
スペイン,ヨーロッパ,,,,,13,1722,0.035,1.402617151,0.493031359,2571,0.046,,,,2014,4090,0.04,1.498514190,0.595110024,6524,0.053,,,,1954,0.039,1.546666636,0.646366428,3217,0.05,,,,2.375145180,0.162388853,2.537534033,9月,228510,,,2.093142272,-0.065165897,2.027976376
スイス,ヨーロッパ,,,,,14,396,0.008,1.117367247,0.189393939,471,0.008,,,,2014,809,0.008,1.302910401,0.386897404,1122,0.009,,,,421,0.008,1.283086585,0.365795724,575,0.009,,,,2.042929293,0.339236312,2.382165605,9月,228510,,,1.921615202,0.029689146,1.951304348
スウェーデン,ヨーロッパ,,,,,15,112,0.002,1.585309262,0.6875,189,0.003,,,,2014,287,0.003,1.607199583,0.710801394,491,0.004,,,,161,0.003,1.686328509,0.795031056,289,0.005,,,,2.5625,0.035383598,2.597883598,9月,228510,,,1.782608696,-0.083646758,1.698961938
フィンランド,ヨーロッパ,,,,,16,31,0.001,2.939545968,2.129032258,97,0.002,,,,2014,89,0.001,2.491106024,1.651685393,236,0.002,,,,57,0.001,2.422772830,1.578947368,147,0.002,,,,2.870967742,-0.437978051,2.432989691,9月,228510,,,1.561403509,0.044038668,1.605442177
ロシア,ヨーロッパ,,,,,17,284,0.006,1.412471685,0.503521127,427,0.007,,,,2014,657,0.007,1.465644732,0.560121766,1025,0.008,,,,366,0.007,1.316759606,0.401639344,513,0.008,,,,2.313380282,0.087088102,2.400468384,9月,228510,,,1.795081967,0.202968715,1.998050682
その他,ヨーロッパ,,,,,18,2229,0.045,1.244582225,0.324809332,2953,0.039,,,,2014,4935,0.049,1.009496193,0.074569402,5303,0.043,,,,2179,0.044,1.272278519,0.354290959,2951,0.046,,,,2.213997308,-0.418196428,1.795800880,9月,228510,,,2.264800367,-0.467782407,1.797017960
ヨーロッパ小計,ヨーロッパ,,,,,19,9659,0.194,1.342783260,0.429340511,13806,0.218,,,,2014,22142,0.219,1.327023028,0.412564357,31277,0.252,,,,11022,0.221,1.408481922,0.499274179,16525,0.258,,,,2.292369811,-0.026905520,2.265464291,9月,228510,,,2.008891308,-0.116183290,1.892708018
中国,東アジア,,,,,20,5581,0.112,1.457053307,0.550976528,8656,0.142,,,,2014,10541,0.104,1.486655988,0.582487430,16681,0.134,,,,5272,0.106,1.473492080,0.568474962,8269,0.129,,,,1.888729618,0.038372969,1.927102588,9月,228510,,,1.999430956,0.017862550,2.017293506
台湾,東アジア,,,,,21,13227,0.266,0.896046489,-0.046193392,12616,0.215,,,,2014,22482,0.222,0.849518128,-0.095721021,20330,0.164,,,,9993,0.201,0.906915045,-0.034624237,9647,0.151,,,,1.699705149,-0.088259365,1.611445783,9月,228510,,,2.249774842,-0.142383944,2.107390899
香港,東アジア,,,,,22,1691,0.034,1.168886502,0.244234181,2104,0.035,,,,2014,3350,0.033,1.201645141,0.279104478,4285,0.035,,,,1482,0.03,1.252590035,0.333333333,1976,0.031,,,,1.981076286,0.055520672,2.036596958,9月,228510,,,2.260458839,-0.091936572,2.168522267
韓国,東アジア,,,,,23,1676,0.034,0.962424115,0.024463007,1717,0.03,,,,2014,3312,0.033,1.004397942,0.069142512,3541,0.029,,,,1852,0.037,0.975457871,0.038336933,1923,0.03,,,,1.976133652,0.086184345,2.062317997,9月,228510,,,1.788336933,0.053056723,1.841393656
東アジア小計,東アジア,,,,,24,22175,0.446,1.063063418,0.131589628,25093,0.421,,,,2014,39685,0.393,1.061403163,0.129822351,44837,0.361,,,,18599,0.374,1.101883902,0.172912522,21815,0.341,,,,1.789627959,-0.002794978,1.786832981,9月,228510,,,2.133716866,-0.078387964,2.055328902
フィリピン,東南アジア,,,,,25,209,0.004,0.858533600,-0.086124402,191,0.003,,,,2014,510,0.005,0.790236948,-0.158823529,429,0.003,,,,239,0.005,0.837243757,-0.108786611,213,0.003,,,,2.440191388,-0.194118089,2.246073298,9月,228510,,,2.133891213,-0.119806706,2.014084507
ベトナム,東南アジア,,,,,26,37,0.001,3.249963333,2.459459459,128,0.002,,,,2014,74,0.001,2.259740130,1.405405405,178,0.001,,,,46,0.001,1.919730379,1.043478261,94,0.001,,,,2,-0.609375,1.390625,9月,228510,,,1.608695652,0.284921369,1.893617021
タイ,東南アジア,,,,,27,827,0.017,0.619100576,-0.340991536,545,0.009,,,,2014,1762,0.017,0.568890565,-0.394438138,1067,0.009,,,,913,0.018,0.601942911,-0.359255203,585,0.009,,,,2.130592503,-0.172794338,1.957798165,9月,228510,,,1.929901424,-0.105969800,1.823931624
インドネシア,東南アジア,,,,,28,200,0.004,2.902877405,2.09,618,0.009,,,,2014,452,0.004,2.388096155,1.542035398,1149,0.009,,,,258,0.005,3.488317596,2.713178295,958,0.015,,,,2.26,-0.400776699,1.859223301,9月,228510,,,1.751937984,-0.552564289,1.199373695
マレーシア,東南アジア,,,,,29,520,0.01,1.094811867,0.165384615,606,0.009,,,,2014,1070,0.011,0.905201163,-0.036448598,1031,0.008,,,,513,0.01,0.921129806,-0.019493177,503,0.008,,,,2.057692308,-0.356372176,1.701320132,9月,228510,,,2.085769981,-0.036068191,2.049701789
シンガポール,東南アジア,,,,,30,724,0.015,0.997833291,0.062154696,769,0.013,,,,2014,1460,0.014,1.094514888,0.165068493,1701,0.014,,,,706,0.014,1.178960450,0.254957507,886,0.014,,,,2.016574586,0.195389003,2.211963589,9月,228510,,,2.067988669,-0.148124109,1.919864560
インド,東南アジア,,,,,31,310,0.006,0.745493101,-0.206451613,246,0.004,,,,2014,809,0.008,0.736225663,-0.216316440,634,0.005,,,,532,0.011,0.648074073,-0.310150376,367,0.006,,,,2.609677419,-0.032441647,2.577235772,9月,228510,,,1.520676692,0.206843744,1.727520436
その他,東南アジア,,,,,32,657,0.013,0.500464055,-0.467275495,350,0.006,,,,2014,1146,0.011,0.513988188,-0.452879581,627,0.005,,,,597,0.012,0.508274599,-0.458961474,323,0.005,,,,1.744292237,0.047136334,1.791428571,9月,228510,,,1.919597990,0.021578481,1.941176471
東南アジア小計,東南アジア,,,,,33,3484,0.07,0.931083537,-0.008897819,3453,0.056,,,,2014,7283,0.072,0.879203660,-0.064121928,6816,0.055,,,,3804,0.076,0.970312746,0.032860147,3929,0.061,,,,2.090413318,-0.116477610,1.973935708,9月,228510,,,1.914563617,-0.179771049,1.734792568
イスラエル,中東,,,,,34,785,0.016,0.318333391,-0.661146497,266,0.004,,,,2014,1621,0.016,0.302522516,-0.677976558,522,0.004,,,,589,0.012,0.346110404,-0.631578947,217,0.003,,,,2.064968153,-0.102562138,1.962406015,9月,228510,,,2.752122241,-0.346592287,2.405529954
カタール,中東,,,,,35,0,,,,20,0,,,,2014,0,,,,46,0,,,,0,,,,19,0,,,,0,0,2.3,9月,228510,,,0,0,2.421052632
UAE,中東,,,,,36,20,0,2.301634188,1.45,49,0.001,,,,2014,43,0,1.420087539,0.511627907,65,0.001,,,,26,0.001,0.794912907,-0.153846154,22,0,,,,2.15,-0.823469388,1.326530612,9月,228510,,,1.653846154,1.300699301,2.954545455
サウジアラビア,中東,,,,,37,29,0.001,1.425361074,0.517241379,44,0.001,,,,2014,57,0.001,1.466848856,0.561403509,89,0.001,,,,27,0.001,2.087650058,1.222222222,60,0.001,,,,1.965517241,0.057210031,2.022727273,9月,228510,,,2.111111111,-0.627777778,1.483333333
トルコ,中東,,,,,38,33,0.001,1.053314347,0.121212121,37,0.001,,,,2014,79,0.001,1.201059432,0.278481013,101,0.001,,,,42,0.001,1.431531468,0.523809524,64,0.001,,,,2.393939394,0.335790336,2.729729730,9月,228510,,,1.880952381,-0.302827381,1.578125
その他,中東,,,,,39,339,0.007,0.557014595,-0.407079646,201,0.004,,,,2014,755,0.007,0.795104336,-0.153642384,639,0.005,,,,400,0.008,0.904213431,-0.0375,385,0.006,,,,2.227138643,0.951965835,3.179104478,9月,228510,,,1.8875,-0.227759740,1.659740260
中東小計,中東,,,,,40,1206,0.024,0.480626898,-0.488391376,617,0.011,,,,2014,2555,0.025,0.537559676,-0.427788650,1462,0.012,,,,1084,0.022,0.664716252,-0.292435424,767,0.012,,,,2.118573798,0.250956186,2.369529984,9月,228510,,,2.357011070,-0.450883300,1.906127771
オーストラリア,オセアニア,,,,,41,3287,0.066,1.338426939,0.424703377,4683,0.094,,,,2014,7238,0.072,1.656030283,0.762779773,12759,0.103,,,,3436,0.069,1.691051229,0.800058207,6185,0.097,,,,2.202007910,0.522527644,2.724535554,9月,228510,,,2.106519208,-0.043625110,2.062894099
ニュージーランド,オセアニア,,,,,42,158,0.003,3.472369843,2.696202532,584,0.01,,,,2014,398,0.004,2.804165128,1.984924623,1188,0.01,,,,190,0.004,3.040827123,2.236842105,615,0.01,,,,2.518987342,-0.484740766,2.034246575,9月,228510,,,2.094736842,-0.163029525,1.931707317
その他,オセアニア,,,,,43,36,0.001,23.590445650,24.111111111,904,0.001,,,,2014,78,0.001,1.083972145,0.153846154,90,0.001,,,,43,0.001,1.223460034,0.302325581,56,0.001,,,,2.166666667,-2.067109145,0.099557522,9月,228510,,,1.813953488,-0.206810631,1.607142857
オセアニア小計,オセアニア,,,,,44,3481,0.07,1.665412188,0.772766446,6171,0.104,,,,2014,7714,0.076,1.709483373,0.819678507,14037,0.113,,,,3669,0.074,1.755469599,0.868629054,6856,0.107,,,,2.216029876,0.058641976,2.274671852,9月,228510,,,2.102480240,-0.055076506,2.047403734
アフリカ,アフリカ,,,,,45,102,0.002,1.086806059,0.156862745,118,0.002,,,,2014,186,0.002,1.601092907,0.704301075,317,0.003,,,,124,0.002,1.681905167,0.790322581,222,0.003,,,,1.823529412,0.862911266,2.686440678,9月,228510,,,1.5,-0.072072072,1.427927928
海外その他,海外その他,,,,,46,2172,0.044,0.720585289,-0.232965009,1666,0.031,,,,2014,4807,0.048,0.864591998,-0.079675473,4424,0.036,,,,2605,0.052,1.009044218,0.074088292,2798,0.044,,,,2.213167587,0.442294597,2.655462185,9月,228510,,,1.845297505,-0.264168127,1.581129378
